# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,canard,0,PMUWOESUZS,0,0,1,9.993908270190957621e-01, 0.000000000000000000e+00, -3.489949670250096919e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.489949670250096919e-02, 0.000000000000000000e+00, 9.993908270190957621e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.799999999999998934e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,41
# x,y,z,u,w
8.527054876456229004e-02, 1.103157894736841671e+00, 4.107491948040176144e-02, 1.052631578947368363e+00, 2.276535875536843889e+00
1.242988138022243644e-01, 1.103157894736841671e+00, 4.558968046261151902e-02, 1.052631578947368363e+00, 2.383341182670537073e+00
1.715220205846996748e-01, 1.103157894736841671e+00, 4.876339709922847265e-02, 1.052631578947368363e+00, 2.511989859081243281e+00
2.263421518881980621e-01, 1.103157894736841671e+00, 5.019456990224054754e-02, 1.052631578947368363e+00, 2.661025311164463503e+00
2.870740298680812819e-01, 1.103157894736841671e+00, 4.938542711248407324e-02, 1.052631578947368363e+00, 2.826077994344449174e+00
3.509917066496200388e-01, 1.103157894736841671e+00, 4.601719396451607602e-02, 1.052631578947368363e+00, 3.000000000000000000e+00
4.146923564627407188e-01, 1.103157894736841671e+00, 3.969793256094231865e-02, 1.052631578947368363e+00, 3.173922005655550826e+00
4.747387071591003815e-01, 1.103157894736841671e+00, 3.044267011013774421e-02, 1.052631578947368363e+00, 3.338974688835536497e+00
5.285315816186008098e-01, 1.103157894736841671e+00, 1.962958477451854158e-02, 1.052631578947368363e+00, 3.488010140918756719e+00
5.746628450091399998e-01, 1.103157894736841671e+00, 8.873069430335746993e-03, 1.052631578947368363e+00, 3.616658817329462927e+00
6.127907918889523575e-01, 1.103157894736841671e+00, -7.694758509365357945e-04, 1.052631578947368363e+00, 3.723464124463156111e+00
6.433260897818833257e-01, 1.103157894736841671e+00, -8.938530353348309032e-03, 1.052631578947368363e+00, 3.809302259087018250e+00
6.671989937550439898e-01, 1.103157894736841671e+00, -1.546102984316775029e-02, 1.052631578947368363e+00, 3.876506978997809050e+00
6.854625847268904781e-01, 1.103157894736841671e+00, -2.063294665319172563e-02, 1.052631578947368363e+00, 3.928052851150206415e+00
6.992181492481632787e-01, 1.103157894736841671e+00, -2.465355582379367971e-02, 1.052631578947368363e+00, 3.966968647865119824e+00
7.094653730929543212e-01, 1.103157894736841671e+00, -2.770280762105791633e-02, 1.052631578947368363e+00, 4.000000000000000000e+00
7.094710460979878341e-01, 1.326315789473683671e+00, -2.754035401204307787e-02, 1.105263157894736725e+00, 0.000000000000000000e+00
6.991781010941244823e-01, 1.326315789473683671e+00, -2.555939433268113181e-02, 1.105263157894736725e+00, 3.303135213488024580e-02
6.852909032076778262e-01, 1.326315789473683671e+00, -2.349437457465660545e-02, 1.105263157894736725e+00, 7.194714884979341862e-02
6.667669481236897511e-01, 1.326315789473683671e+00, -2.176993417674292358e-02, 1.105263157894736725e+00, 1.234930210021912000e-01
6.425236098202922186e-01, 1.326315789473683671e+00, -2.084504428181996674e-02, 1.105263157894736725e+00, 1.906977409129814449e-01
6.115379802312455038e-01, 1.326315789473683671e+00, -2.121348858015093680e-02, 1.105263157894736725e+00, 2.765358755368439447e-01
5.730391208140841464e-01, 1.326315789473683671e+00, -2.343411895884832050e-02, 1.105263157894736725e+00, 3.833411826705370173e-01
5.267745027563782712e-01, 1.326315789473683449e+00, -2.762186049775917224e-02, 1.105263157894736725e+00, 5.119898590812432815e-01
4.732202590144145016e-01, 1.326315789473683671e+00, -3.293636362228757886e-02, 1.105263157894736725e+00, 6.610253111644632806e-01
4.138344867313114572e-01, 1.326315789473683671e+00, -3.795840296053517443e-02, 1.105263157894736725e+00, 8.260779943444493956e-01
3.510999088465158735e-01, 1.326315789473683671e+00, -4.059614227309994716e-02, 1.105263157894736725e+00, 1.000000000000000000e+00
2.883127908005458373e-01, 1.326315789473683671e+00, -4.075291425080782709e-02, 1.105263157894736725e+00, 1.173922005655550826e+00
2.287483193870744613e-01, 1.326315789473683671e+00, -3.937066290066763841e-02, 1.105263157894736725e+00, 1.338974688835536719e+00
1.750198633262411430e-01, 1.326315789473683449e+00, -3.666342735568009492e-02, 1.105263157894736725e+00, 1.488010140918756719e+00
1.287564551476623742e-01, 1.326315789473683671e+00, -3.270842947253470995e-02, 1.105263157894736725e+00, 1.616658817329462927e+00
9.047032366633704636e-02, 1.326315789473683671e+00, -2.824634226888406152e-02, 1.105263157894736725e+00, 1.723464124463156111e+00
5.982551693334671461e-02, 1.326315789473683671e+00, -2.371926054118116481e-02, 1.105263157894736725e+00, 1.809302259087018472e+00
3.600603071895948359e-02, 1.326315789473683671e+00, -1.922027695769464722e-02, 1.105263157894736725e+00, 1.876506978997808828e+00
