# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,BORGeom,0,OUXXXGHFZS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,37
# x,y,z,u,w
7.655795479079012811e-01, 1.030697498413324226e-01, -6.948409701286292761e-02, 3.750000000000000000e-01, 3.533286772417714161e+00
8.332906939720585715e-01, 9.775599028132817003e-02, -6.590184533049490978e-02, 3.750000000000000000e-01, 3.666816914193622878e+00
8.874117545816664343e-01, 9.321524062135388977e-02, -6.284071546096016425e-02, 3.750000000000000000e-01, 3.773614266098068715e+00
9.291386855235235220e-01, 8.953584001511974422e-02, -6.036026092346175043e-02, 3.750000000000000000e-01, 3.855997787961553236e+00
9.604242612381876931e-01, 8.667106754678521874e-02, -5.842898498249976535e-02, 3.750000000000000000e-01, 3.917793523727388205e+00
9.833940539417425075e-01, 8.450794610007425489e-02, -5.697072452601038839e-02, 3.750000000000000000e-01, 3.963179575933088561e+00
1.000000000000000000e+00, 8.291182193488749741e-02, -5.589470322481248504e-02, 3.750000000000000000e-01, 4.000000000000000000e+00
1.000000000000000000e+00, 7.069681341850665712e-02, -7.069681341850665712e-02, 5.000000000000000000e-01, 0.000000000000000000e+00
9.833940539417401761e-01, 6.933583871471138416e-02, -6.933583871471138416e-02, 5.000000000000000000e-01, 3.682042406691152236e-02
9.604242612381848065e-01, 6.749139977041004879e-02, -6.749139977041004879e-02, 5.000000000000000000e-01, 8.220647627261153112e-02
9.291386855235221898e-01, 6.504868074730887906e-02, -6.504868074730887906e-02, 5.000000000000000000e-01, 1.440022120384465143e-01
8.874117545816672115e-01, 6.191134891596677264e-02, -6.191134891596677264e-02, 5.000000000000000000e-01, 2.263857339019312576e-01
8.332906939720593487e-01, 5.803956653319081171e-02, -5.803956653319081171e-02, 5.000000000000000000e-01, 3.331830858063768441e-01
7.655795479079018362e-01, 5.350865816092703620e-02, -5.350865816092703620e-02, 5.000000000000000000e-01, 4.667132275822860055e-01
6.845849927517762001e-01, 4.856069335590476599e-02, -4.856069335590476599e-02, 5.000000000000000000e-01, 6.263209271791859711e-01
5.927426257534735843e-01, 4.364555768748737408e-02, -4.364555768748737408e-02, 5.000000000000000000e-01, 8.071497903868449786e-01
4.946999091699305628e-01, 3.938570753973974492e-02, -3.938570753973974492e-02, 5.000000000000000000e-01, 1.000000000000000000e+00
3.965608026664257935e-01, 3.644935625654328187e-02, -3.644935625654328187e-02, 5.000000000000000000e-01, 1.192850209613155021e+00
3.044714685056293391e-01, 3.534134297431085203e-02, -3.534134297431085203e-02, 5.000000000000000000e-01, 1.373679072820814140e+00
2.231885422780415795e-01, 3.622391868036375917e-02, -3.622391868036375917e-02, 5.000000000000000000e-01, 1.533286772417713939e+00
1.552858581325804177e-01, 3.890523669920142175e-02, -3.890523669920142175e-02, 5.000000000000000000e-01, 1.666816914193623100e+00
